,Company,Test R2,Test MSE
0,MEDC,0.9962303480887973,270.71929208636885
0,MKAP,0.9747666946262343,97.893496576705
0,MTFN,0.9972073512131439,7.433842137902364
0,MYOH,0.9990330370453966,288.19173996472523
0,PGAS,0.998425359706279,3275.096764821105
0,PKPK,0.9953083087259177,154.2637697797073
0,PSSI,0.9970115188393922,108.0838491498243
0,PTBA,0.9981781977341917,2927.2870690751147
0,PTIS,0.9971175636909896,271.32459508612817
0,PTRO,0.997760539803307,3580.104602334752
0,RAJA,0.9968812370825408,253.84820816034363
0,RGAS,0.7865611626146278,45.74099339098089
0,RIGS,0.9981782812453937,137.8749771643102
0,RMKE,0.9863602141563516,643.9372326697927
0,RMKO,0.9757896145306392,137.9069928904816
0,RUIS,0.9936771976866727,54.828926683813094
0,SEMA,0.989395544238126,41.3432689540039
0,SGER,0.9940825994005477,2629.8989455632363
0,SHIP,0.9875843225676324,712.8508483264263
0,SICO,0.9291308758285757,75.50782044172124
0,SMMT,0.9989491958309039,381.6719832017669
0,SMRU,0.997140545792833,73.04475064788863
0,SOCI,0.9966510377160023,60.944664870250875
0,SUGI,0.9990321992312741,17.32632510685378
0,SUNI,0.9740997937028164,138.03073953093175
0,SURE,0.9918223454451914,2901.2607761588615
0,TAMU,0.9969784413030706,94.51513048946016
0,TCPI,0.9869965953489032,51793.099161596656
0,TEBE,0.9965663992813831,564.4712482190326
0,TOBA,0.9942344246138135,335.7759165760219
0,TPMA,0.9943557312046629,195.08593873308737
0,TRAM,0.9997801166952786,59.687780901513186
0,UNIQ,0.9951365156832929,35.51809900423035
0,WINS,0.9980245410825134,120.06487947400188
0,WOWS,0.9752710207756238,61.469167465540984
0,BMHS,0.9939069052668783,333.2023523795599
0,CARE,0.9927176284221484,103.26855748991309
0,DGNS,0.9902881113591483,774.5739572284034
0,DVLA,0.9982491709800696,1093.348503617261
0,HALO,0.985527558005845,51.2449914890551
0,HEAL,0.9961788701715789,481.5143290035441
0,IKPM,0.8967680983278241,173.0322529525686
0,INAF,0.9967455869106356,5736.281453856246
0,IRRA,0.9909485800416583,3121.204965698085
0,KAEF,0.9972797704598451,2879.2875135678387
0,KLBF,0.9987915096204386,515.3550662675531
0,MEDS,0.9832364195616786,104.03142259359797
0,MERK,0.9994593018093152,4473.4234834897015
0,MIKA,0.9750562269967663,3684.8703851152018
0,MMIX,0.990866507543792,225.1536482592834
0,MTMH,0.9879708096333932,1798.9785576725321
0,OMED,0.620316192430568,130.1055442919961
0,PEHA,0.9894860233828162,2640.876456498007
0,PEVE,0.9181595471225733,26.71124103680358
0,PRAY,0.8098017434797986,300.3328425952382
0,PRDA,0.9931369524171184,17745.37335702002
0,PRIM,0.9966054186195693,316.1933286459907
0,PYFA,0.9968732106485835,298.70944191249646
0,RSCH,0.9349544163335877,89.95509152690471
0,RSGK,0.9683355336590219,1408.264176820169
0,SAME,0.9920471180569774,74.68214734813705
0,SCPI,-0.21502966906770582,106670034.20003437
0,SIDO,0.9977407820165755,115.18741636960092
0,SILO,0.9956956342561224,1054.2076683225594
0,SOHO,0.9559093636379392,350.40151156458745
0,SRAJ,0.995057410830238,198.4891182473933
0,SURI,0.9196000270981625,1747.9930130569094
0,TSPC,0.9984611866316686,1070.2966550157173
0,AMFG,0.9984271837800323,7359.154377971358
0,AMIN,0.9886948011327606,140.3179910572352
0,APII,0.9840294931295116,66.02511577098844
0,ARKA,0.997928476625354,827.126806896094
0,ARNA,0.9988332801492444,127.26037898155309
0,ASGR,0.9987255937740888,428.86359438654034
0,ASII,0.9991142931541543,7386.186523772389
0,BHIT,0.9991050239264868,12.949416919465687
0,BINO,0.9418140688404462,4.535873481774213
0,BLUE,0.9930675197251171,183.65949432178695
0,BNBR,0.979667926762619,25913.311704545667
0,CAKK,0.9828512700322056,54.47196023192756
0,CCSI,0.9938791307102568,284.1068261651799
0,CRSN,0.7423440568336355,15.487492476420478
0,CTTH,0.9882260164186872,9.67628710344724
0,DYAN,0.99683239807747,14.900809395638289
0,FOLK,0.7922573461364304,13.219436491568954
0,GPSO,0.9100035376302282,72.65344392174076
0,HEXA,0.9992914816140557,3984.5102553461634
0,HOPE,0.9866792765293558,29.391460385423805
0,HYGN,0.7613569020421621,48.14149833957762
0,IBFN,0.997198201042019,558.3998885919506
0,ICON,0.998739077833183,65.68535838923947
0,IKAI,0.9987271827910192,38.57547916138444
0,IKBI,0.9929912127989521,85.00522261471136
0,IMPC,0.9987776978966826,13.684296699477558
0,INDX,0.9973651537799603,13410.54372798236
0,INTA,0.999034649800897,29.831094354580284
0,JECC,0.9979115041075909,11346.180146863306
0,JTPE,0.9935090479194895,61.275493732664216
0,KBLI,0.9970516469793668,66.16413798723812
0,KBLM,0.9905512009150544,63.25058305665349
0,KIAS,0.9980573010749691,8.852913175179156
0,KING,0.9764144308885631,95.48918835138166
0,KOBX,0.9949489158366432,79.45086800501655
0,KOIN,0.9920245068342561,85.26263469856673
0,KONI,0.9934323912683944,2067.026831365379
0,KPAL,0.9890300851818346,316.0593455788016
0,KRAH,0.9988753465517212,1211.969936733111
